log(g) Teff a1 a2 a3 a4 I1 beaming
6.0 80000.0 0.7882 -1.1238 1.0894 -0.4023 0.00311311 1.8006
6.0 85000.0 0.8348 -1.2487 1.2163 -0.4481 0.00328727 1.813
6.0 90000.0 0.8809 -1.3655 1.3325 -0.4896 0.00346306 1.8239
6.0 100000.0 0.9668 -1.5742 1.5395 -0.5639 0.00382408 1.8424
6.25 3750.0 0.7444 0.6101 -1.1178 0.4822 1.02871e-06 -5.0093
6.25 4000.0 1.2043 -0.598 0.133 0.0213 1.38026e-06 -4.5104
6.25 4250.0 1.4886 -1.3712 0.955 -0.2872 1.90463e-06 -4.0707
6.25 4500.0 1.6176 -1.7244 1.3403 -0.4337 2.65705e-06 -3.6807
6.25 4750.0 1.6292 -1.6948 1.2973 -0.4142 3.69222e-06 -3.3324
6.25 5000.0 1.3745 -0.9827 0.5701 -0.1456 5.20594e-06 -3.0198
6.25 5250.0 1.1195 -0.3268 -0.0504 0.0734 7.00011e-06 -2.7379
6.25 5500.0 0.7217 0.6739 -0.9996 0.4036 9.14877e-06 -2.4824
6.25 5750.0 0.3021 1.6961 -1.9536 0.7257 1.16275e-05 -2.2501
6.25 6000.0 -0.008 2.3959 -2.5617 0.9154 1.44185e-05 -2.038
6.25 6250.0 -0.1752 2.6971 -2.7532 0.9519 1.75359e-05 -1.8437
6.25 6500.0 -0.2536 2.7689 -2.7185 0.9091 2.09997e-05 -1.6652
6.25 7000.0 -0.2667 2.5641 -2.3188 0.7108 2.9078e-05 -1.3489
6.25 7500.0 -0.2443 2.3612 -1.9909 0.5521 3.88865e-05 -1.0778
6.25 8000.0 -0.2545 2.3901 -2.0145 0.5453 5.06751e-05 -0.8432
6.25 8500.0 -0.2941 2.668 -2.4422 0.7231 6.46232e-05 -0.6387
6.25 9000.0 -0.2531 2.8435 -2.8765 0.9385 8.06949e-05 -0.4592
6.25 9500.0 -0.0604 2.5177 -2.7386 0.941 9.83704e-05 -0.3005
6.25 10000.0 0.1409 1.9694 -2.2143 0.7723 0.000116293 -0.1594
6.25 10500.0 0.349 1.2039 -1.3385 0.4638 0.000132243 -0.0333
6.25 11000.0 0.5359 0.5065 -0.5026 0.1484 0.000147295 0.0799
6.25 11500.0 0.6108 0.2942 -0.2889 0.0706 0.000161549 0.1821
6.25 12000.0 0.658 0.1837 -0.2103 0.0498 0.000175409 0.2747
6.25 12500.0 0.6921 0.091 -0.1373 0.0283 0.000189205 0.3589
6.25 13000.0 0.7116 0.0258 -0.0838 0.012 0.000202958 0.4358
6.25 13500.0 0.7219 -0.02 -0.0455 0.0 0.000216752 0.5062
6.25 14000.0 0.7264 -0.0524 -0.019 -0.008 0.000230645 0.5709
6.25 14500.0 0.7281 -0.0785 0.0031 -0.0149 0.000244688 0.6305
6.25 15000.0 0.7279 -0.0999 0.0212 -0.0204 0.000258913 0.6856
6.25 15500.0 0.7264 -0.1177 0.0363 -0.025 0.000273339 0.7367
6.25 16000.0 0.7261 -0.1377 0.0542 -0.0306 0.000287986 0.7842
6.25 16500.0 0.7255 -0.1571 0.0721 -0.0365 0.000302864 0.8283
6.25 17000.0 0.7256 -0.1772 0.091 -0.0426 0.000317987 0.8696
6.25 20000.0 0.7455 -0.3358 0.2492 -0.0976 0.000414415 1.0683
6.25 25000.0 0.8825 -0.7963 0.7123 -0.2625 0.00060368 1.2821
6.25 30000.0 0.9576 -1.0434 0.9124 -0.3214 0.000859946 1.4175
6.25 35000.0 0.779 -0.7861 0.6444 -0.2196 0.00115037 1.5105
6.25 40000.0 0.6791 -0.6978 0.5905 -0.2066 0.00138123 1.5782
6.25 45000.0 0.6528 -0.7419 0.6665 -0.2402 0.00157334 1.6296
6.25 50000.0 0.6609 -0.8428 0.792 -0.29 0.00175227 1.6699
6.25 55000.0 0.6857 -0.9609 0.9275 -0.3419 0.00191553 1.7023
6.25 60000.0 0.7189 -1.0851 1.0641 -0.3933 0.00207067 1.729
6.5 3750.0 0.8232 0.418 -0.9222 0.4113 1.07123e-06 -5.0093
