log(g) Teff a1 a2 a3 a4 I1 beaming
6.25 4000.0 1.723 -2.1746 1.7689 -0.5825 3.07015e-06 -2.8106
6.25 4250.0 1.7767 -2.3719 1.9971 -0.6719 3.95396e-06 -2.4756
6.25 4500.0 1.7978 -2.4464 2.0876 -0.7081 5.13392e-06 -2.1793
6.25 4750.0 1.6998 -2.1168 1.712 -0.5604 6.64028e-06 -1.9156
6.25 5000.0 1.4415 -1.3796 0.9328 -0.2678 8.80062e-06 -1.6797
6.25 5250.0 1.1396 -0.5785 0.1386 0.0185 1.09566e-05 -1.4677
6.25 5500.0 0.6977 0.5423 -0.9473 0.4002 1.33869e-05 -1.2763
6.25 5750.0 0.2603 1.5812 -1.9037 0.7194 1.60619e-05 -1.1027
6.25 6000.0 -0.031 2.188 -2.3889 0.8581 1.89594e-05 -0.9448
6.25 6250.0 -0.1627 2.3648 -2.4338 0.8379 2.20836e-05 -0.8007
6.25 6500.0 -0.2074 2.3311 -2.2831 0.7528 2.54414e-05 -0.6687
6.25 7000.0 -0.1668 1.9793 -1.7417 0.51 3.2914e-05 -0.4356
6.25 7500.0 -0.0989 1.6469 -1.2855 0.3118 4.15125e-05 -0.2369
6.25 8000.0 -0.0686 1.5239 -1.1259 0.2374 5.13427e-05 -0.0657
6.25 8500.0 -0.085 1.6486 -1.3219 0.3158 6.24437e-05 0.083
6.25 9000.0 -0.0633 1.759 -1.5866 0.444 7.46311e-05 0.2131
6.25 9500.0 0.0776 1.4875 -1.4278 0.4185 8.72104e-05 0.3278
6.25 10000.0 0.2331 1.0487 -1.0033 0.2803 9.8815e-05 0.4295
6.25 10500.0 0.411 0.4711 -0.401 0.0804 0.000107528 0.5203
6.25 11000.0 0.5317 0.0942 -0.0346 -0.0285 0.00011557 0.6017
6.25 11500.0 0.5725 -0.0139 0.0534 -0.0528 0.000124256 0.6751
6.25 12000.0 0.5909 -0.0542 0.0677 -0.052 0.000132902 0.7416
6.25 12500.0 0.6055 -0.0972 0.0936 -0.0568 0.000141525 0.802
6.25 13000.0 0.6144 -0.1369 0.1251 -0.0658 0.000150167 0.8571
6.25 13500.0 0.6187 -0.1687 0.1532 -0.0747 0.000158875 0.9076
6.25 14000.0 0.6197 -0.1935 0.1763 -0.0824 0.000167671 0.954
6.25 14500.0 0.6194 -0.2148 0.1969 -0.0894 0.000176562 0.9967
6.25 15000.0 0.6184 -0.2334 0.2152 -0.0957 0.000185556 1.0362
6.25 15500.0 0.6161 -0.2476 0.229 -0.1004 0.000194654 1.0729
6.25 16000.0 0.616 -0.2661 0.247 -0.1065 0.000203861 1.1069
6.25 16500.0 0.6156 -0.2826 0.2629 -0.1119 0.000213181 1.1387
6.25 17000.0 0.6165 -0.3012 0.2811 -0.1181 0.000222621 1.1683
6.25 20000.0 0.6553 -0.4803 0.4598 -0.1812 0.000282042 1.3113
6.25 25000.0 0.8412 -0.9925 0.9555 -0.3548 0.000395814 1.466
6.25 30000.0 0.848 -0.9945 0.884 -0.3108 0.000548658 1.5646
6.25 35000.0 0.6211 -0.6116 0.5078 -0.1753 0.00072457 1.6327
6.25 40000.0 0.5385 -0.5677 0.5072 -0.1835 0.000862695 1.6825
6.25 45000.0 0.5323 -0.6564 0.6272 -0.2326 0.000976697 1.7205
6.25 50000.0 0.5561 -0.787 0.779 -0.2909 0.00108252 1.7505
6.25 55000.0 0.5914 -0.9224 0.9276 -0.3467 0.00117887 1.7746
6.25 60000.0 0.631 -1.0535 1.0666 -0.3979 0.00127032 1.7945
6.5 3750.0 1.6084 -1.7889 1.3377 -0.4163 2.50873e-06 -3.1919
6.5 4000.0 1.7409 -2.2152 1.8132 -0.5996 3.13354e-06 -2.8106
6.5 4250.0 1.7902 -2.4012 2.0279 -0.6836 4.00128e-06 -2.4756
6.5 4500.0 1.8012 -2.4577 2.0994 -0.7125 5.16278e-06 -2.1793
6.5 4750.0 1.7338 -2.2141 1.8141 -0.5986 6.64765e-06 -1.9156
6.5 5000.0 1.5138 -1.5928 1.1574 -0.352 8.82788e-06 -1.6797
6.5 5250.0 1.2555 -0.8884 0.4433 -0.0908 1.09888e-05 -1.4677
6.5 5500.0 0.8648 0.1199 -0.5461 0.2615 1.34039e-05 -1.2763
6.5 5750.0 0.4241 1.1936 -1.5574 0.6071 1.60783e-05 -1.1027
6.5 6000.0 0.077 1.9687 -2.2299 0.8182 1.8975e-05 -0.9448
6.5 6250.0 -0.1102 2.2982 -2.4344 0.8562 2.20948e-05 -0.8007
6.5 6500.0 -0.1762 2.3212 -2.3416 0.7918 2.54362e-05 -0.6687
6.5 7000.0 -0.1735 2.0853 -1.9319 0.5993 3.28523e-05 -0.4356
6.5 7500.0 -0.1198 1.7979 -1.5304 0.4232 4.13371e-05 -0.2369
6.5 8000.0 -0.093 1.6709 -1.3571 0.3421 5.10111e-05 -0.0657
6.5 8500.0 -0.1001 1.7428 -1.4771 0.3883 6.19073e-05 0.083
6.5 9000.0 -0.0916 1.8645 -1.731 0.5064 7.39139e-05 0.2131
6.5 9500.0 0.0277 1.6676 -1.6573 0.512 8.65581e-05 0.3278
6.5 10000.0 0.182 1.2586 -1.28 0.3917 9.86535e-05 0.4295
6.5 10500.0 0.3298 0.7729 -0.7577 0.2098 0.000108852 0.5203
6.5 11000.0 0.4794 0.2732 -0.2363 0.0398 0.000116517 0.6017
6.5 11500.0 0.5603 0.0186 0.0161 -0.0392 0.000124869 0.6751
6.5 12000.0 0.5877 -0.0519 0.0679 -0.0527 0.00013356 0.7416
6.5 12500.0 0.6023 -0.0908 0.0875 -0.055 0.000142215 0.802
6.5 13000.0 0.6073 -0.1158 0.1005 -0.0564 0.000150889 0.8571
6.5 13500.0 0.6193 -0.1643 0.1444 -0.0708 0.000159604 0.9076
6.5 14000.0 0.6206 -0.1891 0.1666 -0.0778 0.000168402 0.954
6.5 14500.0 0.6208 -0.2114 0.1884 -0.0854 0.000177303 0.9967
6.5 15000.0 0.6202 -0.2311 0.2078 -0.092 0.000186306 1.0362
6.5 15500.0 0.6177 -0.245 0.2214 -0.0966 0.000195419 1.0729
6.5 16000.0 0.617 -0.2623 0.2385 -0.1025 0.000204642 1.1069
6.5 16500.0 0.6166 -0.279 0.2549 -0.1081 0.000213984 1.1387
6.5 17000.0 0.6167 -0.2962 0.2719 -0.114 0.000223442 1.1683
6.5 20000.0 0.6548 -0.4738 0.4493 -0.1766 0.000282986 1.3113
6.5 25000.0 0.8371 -0.9793 0.9391 -0.3482 0.000396907 1.466
6.5 30000.0 0.8336 -0.9636 0.8519 -0.2988 0.000549502 1.5646
6.5 35000.0 0.5906 -0.5446 0.4405 -0.1506 0.000723603 1.6327
6.5 40000.0 0.4904 -0.4599 0.3986 -0.1436 0.000860167 1.6825
6.5 45000.0 0.47 -0.5164 0.4866 -0.1812 0.000972737 1.7205
6.5 50000.0 0.4807 -0.6187 0.6111 -0.2298 0.00107639 1.7505
6.5 55000.0 0.5043 -0.7289 0.7351 -0.2767 0.00117054 1.7746
6.5 60000.0 0.5345 -0.8409 0.8562 -0.3218 0.00125995 1.7945
6.5 65000.0 0.2647 -0.0316 0.0174 -0.0151 0.00151888 1.8112
6.5 70000.0 0.2732 -0.0967 0.0952 -0.0451 0.00161123 1.8254
6.5 75000.0 0.2887 -0.1711 0.1797 -0.0771 0.00170291 1.8376
6.5 80000.0 0.3091 -0.2505 0.2665 -0.1094 0.00179433 1.8482
6.5 85000.0 0.3337 -0.3349 0.3571 -0.143 0.00188568 1.8575
6.5 90000.0 0.3606 -0.4194 0.4454 -0.1752 0.00197727 1.8658
6.5 100000.0 0.4155 -0.5841 0.6164 -0.2376 0.00216198 1.8797
6.75 3750.0 1.6432 -1.8764 1.4339 -0.4533 2.58627e-06 -3.1919
6.75 4000.0 1.7574 -2.2508 1.8524 -0.6148 3.20357e-06 -2.8106
6.75 4250.0 1.8025 -2.4251 2.0528 -0.693 4.05493e-06 -2.4756
6.75 4500.0 1.81 -2.4781 2.1201 -0.7202 5.19818e-06 -2.1793
6.75 4750.0 1.8399 -2.516 2.1464 -0.7266 6.66378e-06 -1.9156
6.75 5000.0 1.5511 -1.7035 1.2718 -0.3944 8.8637e-06 -1.6797
6.75 5250.0 1.3507 -1.1452 0.6971 -0.1821 1.10151e-05 -1.4677
6.75 5500.0 1.0111 -0.2557 -0.186 0.1355 1.34308e-05 -1.2763
6.75 5750.0 0.5928 0.7833 -1.1801 0.4809 1.61024e-05 -1.1027
6.75 6000.0 0.2117 1.6671 -1.9775 0.742 1.90015e-05 -0.9448
6.75 6250.0 -0.0289 2.1449 -2.338 0.8377 2.21146e-05 -0.8007
6.75 6500.0 -0.1443 2.3023 -2.3841 0.8233 2.54446e-05 -0.6687
6.75 7000.0 -0.1729 2.1531 -2.067 0.6647 3.28052e-05 -0.4356
6.75 7500.0 -0.1323 1.9105 -1.7223 0.5123 4.11908e-05 -0.2369
6.75 8000.0 -0.1027 1.779 -1.5498 0.4339 5.07211e-05 -0.0657
6.75 8500.0 -0.1074 1.8272 -1.6312 0.4631 6.14239e-05 0.083
6.75 9000.0 -0.1028 1.9357 -1.851 0.5635 7.32392e-05 0.2131
