log(g) Teff a1 a2 a3 a4 I1 beaming
6.25 5250.0 1.0546 -0.5804 0.14 0.0199 1.32177e-05 -0.6896
6.25 5500.0 0.6284 0.503 -0.9151 0.3915 1.55674e-05 -0.5397
6.25 5750.0 0.2198 1.462 -1.7899 0.6808 1.80733e-05 -0.4042
6.25 6000.0 -0.0378 1.9759 -2.1785 0.7843 2.07239e-05 -0.2812
6.25 6250.0 -0.1436 2.0871 -2.1591 0.742 2.35194e-05 -0.1692
6.25 6500.0 -0.1714 2.0155 -1.9756 0.6471 2.64612e-05 -0.0668
6.25 7000.0 -0.1123 1.6334 -1.4201 0.405 3.28061e-05 0.1135
6.25 7500.0 -0.0284 1.2681 -0.9436 0.2055 3.9809e-05 0.2669
6.25 8000.0 0.023 1.0749 -0.7075 0.1058 4.75178e-05 0.3987
6.25 8500.0 0.0337 1.0728 -0.7355 0.1172 5.5875e-05 0.5129
6.25 9000.0 0.0716 1.0506 -0.7942 0.1554 6.46626e-05 0.6128
6.25 9500.0 0.209 0.7111 -0.5057 0.0692 7.32652e-05 0.7008
6.25 10000.0 0.3514 0.288 -0.089 -0.0675 8.06711e-05 0.7788
6.25 10500.0 0.4837 -0.1012 0.2608 -0.1652 8.57037e-05 0.8483
6.25 11000.0 0.5352 -0.2249 0.3136 -0.1532 9.03575e-05 0.9107
6.25 11500.0 0.5424 -0.2367 0.2957 -0.1373 9.59775e-05 0.967
6.25 12000.0 0.5436 -0.2388 0.2804 -0.1281 0.000101757 1.0179
6.25 12500.0 0.5465 -0.2527 0.2814 -0.1253 0.000107549 1.0642
6.25 13000.0 0.5491 -0.2734 0.2945 -0.1279 0.000113378 1.1065
6.25 13500.0 0.5512 -0.2967 0.3147 -0.1341 0.000119267 1.1452
6.25 14000.0 0.5524 -0.3188 0.3355 -0.141 0.000125231 1.1809
6.25 14500.0 0.553 -0.3391 0.3555 -0.1479 0.000131261 1.2137
6.25 15000.0 0.554 -0.3594 0.3759 -0.1551 0.000137358 1.2441
6.25 15500.0 0.553 -0.3739 0.3906 -0.1603 0.000143521 1.2723
6.25 16000.0 0.5552 -0.3942 0.4108 -0.1673 0.000149748 1.2985
