Mass Teff Radius H_mass
0.350 13130 0.018729 10
0.350 12878 0.018657 10
0.350 12631 0.018587 10
0.350 12387 0.018520 10
0.350 12146 0.018457 10
0.350 11907 0.018396 10
0.350 11671 0.018338 10
0.350 11439 0.018281 10
0.350 11210 0.018227 10
0.350 10991 0.018172 10
0.350 10777 0.018117 10
0.350 10565 0.018064 10
0.350 10358 0.018013 10
0.350 10155 0.017961 10
0.350  9960 0.017897 10
0.350  9834 0.017867 10
0.350  9716 0.017826 10
0.350  9547 0.017779 10
0.350  9387 0.017741 10
0.350  9209 0.017681 10
0.350  9032 0.017634 10
0.350  8865 0.017593 10
0.350  8697 0.017541 10
0.350  8530 0.017499 10
0.350  8366 0.017461 10
0.350  8207 0.017417 10
0.350  8051 0.017377 10
0.350  7924 0.017227 10
0.350  7877 0.017046 10
0.350  7742 0.017018 10
0.350  7615 0.016995 10
0.350  7479 0.016969 10
0.350  7347 0.016945 10
0.350  7218 0.016920 10
0.350  7092 0.016897 10
0.350  6969 0.016874 10
0.350  6849 0.016853 10
0.350  6732 0.016832 10
0.350  6617 0.016812 10
0.350  6506 0.016792 10
0.350  6397 0.016773 10
0.350  6291 0.016755 10
0.350  6187 0.016737 10
0.350  6085 0.016720 10
0.350  5986 0.016704 10
0.350  5890 0.016688 10
0.350  5796 0.016672 10
0.350  5704 0.016657 10
0.350  5614 0.016643 10
0.350  5528 0.016628 10
0.350  5444 0.016614 10
0.350  5365 0.016600 10
0.350  5295 0.016585 10
0.350  5224 0.016571 10
0.350  5145 0.016560 10
0.350  5081 0.016546 10
0.350  5022 0.016533 10
0.350  4972 0.016520 10
0.350  4913 0.016509 10
0.350  4856 0.016498 10
0.350  4798 0.016487 10
0.350  4726 0.016479 10
0.350  4666 0.016468 10
0.350  4609 0.016459 10
0.350  4556 0.016449 10
0.350  4498 0.016440 10
0.350  4422 0.016433 10
0.350  4365 0.016424 10
0.350  4301 0.016417 10
0.350  4241 0.016409 10
0.350  4168 0.016402 10
0.350  4103 0.016395 10
0.350  4039 0.016389 10
0.350  3975 0.016382 10
0.350  3911 0.016376 10
0.350  3848 0.016370 10
0.350  3786 0.016364 10
0.350  3724 0.016359 10
0.350  3663 0.016354 10
0.350  3602 0.016348 10
0.350  3543 0.016343 10
0.350  3485 0.016339 10
0.350  3428 0.016334 10
0.350  3373 0.016329 10
0.350  3320 0.016325 10
0.350  3271 0.016320 10
0.350  3228 0.016315 10
0.350  3190 0.016310 10
0.350  3152 0.016306 10
0.350  3116 0.016302 10
0.350  3078 0.016298 10
0.350  3044 0.016294 10
0.350  3012 0.016290 10
0.350  2979 0.016287 10
0.350  2948 0.016283 10
0.350  2921 0.016280 10
0.350  2889 0.016277 10
0.350  2858 0.016274 10
0.350  2821 0.016271 10
0.350  2789 0.016268 10
0.350  2760 0.016265 10
0.350  2743 0.016264 10
0.350  2726 0.016262 10
0.350  2698 0.016259 10
0.350  2669 0.016257 10
0.350  2638 0.016255 10
0.350  2605 0.016253 10
0.350  2576 0.016250 10
0.350  2549 0.016248 10
0.400 30549 0.022710 10
0.400 30050 0.022447 10
0.400 29551 0.022194 10
0.400 29052 0.021953 10
0.400 28558 0.021723 10
0.400 28066 0.021503 10
0.400 27580 0.021293 10
0.400 27099 0.021093 10
0.400 26626 0.020902 10
0.400 26162 0.020718 10
0.400 25705 0.020545 10
0.400 25259 0.020378 10
0.400 24823 0.020219 10
0.400 24395 0.020066 10
0.400 23973 0.019920 10
0.400 23557 0.019780 10
0.400 23147 0.019645 10
0.400 22745 0.019516 10
0.400 22350 0.019393 10
0.400 21967 0.019274 10
0.400 21593 0.019161 10
0.400 21228 0.019052 10
0.400 20872 0.018947 10
0.400 20523 0.018847 10
0.400 20183 0.018750 10
0.400 19851 0.018658 10
0.400 19525 0.018569 10
0.400 19204 0.018484 10
0.400 18889 0.018401 10
0.400 18578 0.018321 10
0.400 18273 0.018244 10
0.400 17973 0.018169 10
0.400 17678 0.018097 10
0.400 17389 0.018026 10
0.400 17105 0.017958 10
0.400 16828 0.017892 10
0.400 16557 0.017827 10
0.400 16291 0.017765 10
0.400 16031 0.017704 10
0.400 15774 0.017645 10
0.400 15518 0.017588 10
0.400 15265 0.017531 10
0.400 15015 0.017476 10
0.400 14766 0.017423 10
0.400 14520 0.017371 10
0.400 14278 0.017321 10
0.400 14039 0.017271 10
0.400 13803 0.017223 10
0.400 13571 0.017177 10
0.400 13342 0.017131 10
0.400 13116 0.017088 10
0.400 12891 0.017046 10
0.400 12670 0.017006 10
0.400 12451 0.016967 10
0.400 12235 0.016929 10
0.400 12022 0.016893 10
0.400 11817 0.016855 10
0.400 11616 0.016818 10
0.400 11417 0.016782 10
0.400 11222 0.016747 10
0.400 11030 0.016713 10
0.400 10842 0.016679 10
0.400 10657 0.016647 10
0.400 10477 0.016614 10
0.400 10300 0.016578 10
0.400 10133 0.016544 10
0.400  9977 0.016511 10
0.400  9829 0.016480 10
0.400  9688 0.016451 10
0.400  9526 0.016418 10
0.400  9368 0.016386 10
0.400  9212 0.016354 10
0.400  9059 0.016325 10
0.400  8908 0.016297 10
0.400  8760 0.016268 10
0.400  8615 0.016242 10
0.400  8473 0.016215 10
0.400  8333 0.016190 10
0.400  8196 0.016165 10
0.400  8061 0.016141 10
0.400  7928 0.016117 10
0.400  7798 0.016094 10
0.400  7689 0.015994 10
0.400  7690 0.015866 10
