Mass Teff Radius H_mass
0.250  2647 0.018861 4
0.250  2627 0.018858 4
0.250  2601 0.018855 4
0.250  2578 0.018851 4
0.250  2558 0.018847 4
0.250  2539 0.018843 4
0.250  2514 0.018841 4
0.250  2501 0.018838 4
0.250  2481 0.018835 4
0.250  2463 0.018832 4
0.250  2441 0.018829 4
0.250  2416 0.018826 4
0.250  2394 0.018825 4
0.250  2375 0.018821 4
0.300 23631 0.035103 4
0.300 23081 0.033805 4
0.300 22573 0.032749 4
0.300 22098 0.031857 4
0.300 21649 0.031082 4
0.300 21222 0.030396 4
0.300 20811 0.029779 4
0.300 20415 0.029217 4
0.300 20029 0.028701 4
0.300 19655 0.028223 4
0.300 19289 0.027778 4
0.300 18928 0.027361 4
0.300 18570 0.026968 4
0.300 18216 0.026597 4
0.300 17864 0.026247 4
0.300 17519 0.025917 4
0.300 17179 0.025606 4
0.300 16846 0.025310 4
0.300 16517 0.025029 4
0.300 16193 0.024761 4
0.300 15872 0.024507 4
0.300 15553 0.024265 4
0.300 15236 0.024034 4
0.300 14925 0.023812 4
0.300 14618 0.023601 4
0.300 14317 0.023399 4
0.300 14021 0.023205 4
0.300 13734 0.023019 4
0.300 13455 0.022841 4
0.300 13183 0.022670 4
0.300 12915 0.022506 4
0.300 12648 0.022348 4
0.300 12384 0.022196 4
0.300 12124 0.022050 4
0.300 11868 0.021909 4
0.300 11616 0.021774 4
0.300 11370 0.021645 4
0.300 11129 0.021520 4
0.300 10891 0.021401 4
0.300 10654 0.021290 4
0.300 10422 0.021183 4
0.300 10192 0.021081 4
0.300  9971 0.020975 4
0.300  9762 0.020858 4
0.300  9565 0.020750 4
0.300  9440 0.020681 4
0.300  9321 0.020618 4
0.300  9153 0.020529 4
0.300  8958 0.020427 4
0.300  8777 0.020336 4
0.300  8591 0.020242 4
0.300  8408 0.020153 4
0.300  8229 0.020068 4
0.300  8055 0.019985 4
0.300  7885 0.019904 4
0.300  7719 0.019828 4
0.300  7557 0.019751 4
0.300  7398 0.019679 4
0.300  7245 0.019607 4
0.300  7093 0.019540 4
0.300  6945 0.019475 4
0.300  6800 0.019411 4
0.300  6659 0.019348 4
0.300  6521 0.019285 4
0.300  6385 0.019224 4
0.300  6253 0.019160 4
0.300  6123 0.019094 4
0.300  5996 0.019026 4
0.300  5873 0.018950 4
0.300  5753 0.018866 4
0.300  5636 0.018778 4
0.300  5525 0.018680 4
0.300  5422 0.018579 4
0.300  5338 0.018483 4
0.300  5269 0.018403 4
0.300  5220 0.018332 4
0.300  5178 0.018276 4
0.300  5138 0.018228 4
0.300  5083 0.018185 4
0.300  5039 0.018143 4
0.300  4996 0.018105 4
0.300  4954 0.018070 4
0.300  4912 0.018037 4
0.300  4870 0.018008 4
0.300  4826 0.017980 4
0.300  4781 0.017954 4
0.300  4734 0.017930 4
0.300  4682 0.017910 4
0.300  4637 0.017889 4
0.300  4581 0.017870 4
0.300  4526 0.017851 4
0.300  4470 0.017832 4
0.300  4414 0.017814 4
0.300  4357 0.017797 4
0.300  4304 0.017780 4
0.300  4240 0.017766 4
0.300  4178 0.017751 4
0.300  4114 0.017738 4
0.300  4036 0.017727 4
0.300  3968 0.017716 4
0.300  3894 0.017705 4
0.300  3829 0.017694 4
0.300  3775 0.017683 4
0.300  3724 0.017673 4
0.300  3677 0.017663 4
0.300  3625 0.017654 4
0.300  3567 0.017646 4
0.300  3515 0.017637 4
0.300  3465 0.017629 4
0.300  3423 0.017620 4
0.300  3383 0.017613 4
0.300  3345 0.017606 4
0.300  3303 0.017599 4
0.300  3256 0.017593 4
