#     6   58  Pure hydrogen grid                   Sun Sep  6 14:45:00 2015
  Teff  logg  M/Mo  Mbol     BC     Age      U      B      V      R      I      J      H      K    IR1    IR2    IR3    IR4     u      g      r      i      z      KG5
 55000. 7.5  0.512  3.341 -4.822 1.286E+06  6.545  7.848  8.163  8.312  8.501  8.908  9.025  9.124  9.179  9.200  9.214  9.219  7.390  7.855  8.391  8.776  9.135  7.849
 60000. 7.5  0.527  2.932 -5.119 9.633E+05  6.418  7.729  8.050  8.200  8.390  8.799  8.917  9.015  9.070  9.090  9.104  9.107  7.263  7.739  8.279  8.665  9.025  7.729
 65000. 7.5  0.541  2.555 -5.393 7.402E+05  6.305  7.622  7.948  8.099  8.290  8.700  8.819  8.917  8.971  8.991  9.003  9.007  7.150  7.633  8.177  8.565  8.925  7.621
 70000. 7.5  0.555  2.206 -5.648 5.684E+05  6.201  7.523  7.854  8.005  8.197  8.609  8.728  8.826  8.880  8.899  8.911  8.914  7.046  7.537  8.083  8.472  8.832  7.522
 75000. 7.5  0.569  1.880 -5.885 4.470E+05  6.104  7.431  7.765  7.918  8.111  8.524  8.643  8.741  8.794  8.813  8.825  8.828  6.949  7.446  7.995  8.385  8.746  7.430
 80000. 7.5  0.583  1.572 -6.107 3.536E+05  6.010  7.342  7.679  7.832  8.026  8.440  8.560  8.657  8.711  8.729  8.741  8.744  6.855  7.358  7.909  8.300  8.662  7.340
 85000. 7.5  0.599  1.281 -6.315 2.728E+05  5.921  7.256  7.596  7.749  7.944  8.359  8.479  8.577  8.630  8.649  8.661  8.664  6.766  7.273  7.826  8.218  8.580  7.254
 90000. 7.5  0.613  1.006 -6.511 2.056E+05  5.836  7.175  7.517  7.671  7.867  8.283  8.403  8.501  8.554  8.573  8.585  8.588  6.682  7.193  7.748  8.141  8.503  7.172
100000. 7.5  0.639  0.503 -6.871 1.241E+05  5.683  7.027  7.374  7.529  7.726  8.144  8.265  8.363  8.416  8.434  8.446  8.450  6.529  7.047  7.606  8.000  8.363  7.024
110000. 7.5  0.667  0.043 -7.196 8.936E+04  5.539  6.888  7.239  7.394  7.593  8.012  8.133  8.232  8.285  8.304  8.316  8.321  6.385  6.909  7.471  7.866  8.230  6.885
120000. 7.5  0.699 -0.384 -7.491 7.294E+04  5.400  6.752  7.106  7.263  7.462  7.883  8.005  8.104  8.158  8.177  8.190  8.196  6.246  6.775  7.339  7.735  8.100  6.749
  1500. 8.0  0.575 20.108  1.126 1.481E+10 23.487 21.203 18.982 18.988 20.914 20.838 20.793 21.753 17.358 16.927 16.778 16.302 24.500 20.017 18.852 21.197 20.772 19.780
  1750. 8.0  0.575 19.438  0.941 1.413E+10 22.836 20.730 18.498 18.271 19.622 19.623 19.698 20.538 16.778 16.414 16.299 15.924 23.820 19.578 18.163 19.938 19.662 19.184
  2000. 8.0  0.575 18.858  0.729 1.350E+10 22.245 20.309 18.129 17.701 18.523 18.619 18.797 19.500 16.302 15.992 15.890 15.585 23.208 19.207 17.646 18.853 18.699 18.702
  2250. 8.0  0.575 18.347  0.512 1.291E+10 21.718 19.935 17.835 17.249 17.608 17.794 18.063 18.631 15.912 15.642 15.544 15.283 22.661 18.884 17.269 17.965 17.886 18.313
  2500. 8.0  0.575 17.889  0.294 1.235E+10 21.251 19.608 17.595 16.894 16.874 17.088 17.423 17.871 15.568 15.334 15.234 15.003 22.180 18.606 16.996 17.272 17.215 18.002
  2750. 8.0  0.575 17.475  0.097 1.181E+10 20.815 19.298 17.377 16.598 16.285 16.483 16.857 17.208 15.264 15.059 14.956 14.743 21.730 18.343 16.777 16.732 16.660 17.735
  3000. 8.0  0.575 17.097 -0.073 1.130E+10 20.391 18.996 17.170 16.347 15.829 15.938 16.324 16.594 14.977 14.797 14.688 14.488 21.294 18.087 16.586 16.324 16.208 17.498
  3250. 8.0  0.576 16.749 -0.213 1.081E+10 19.965 18.690 16.962 16.131 15.491 15.444 15.808 16.019 14.694 14.539 14.426 14.233 20.857 17.829 16.405 16.021 15.856 17.278
  3500. 8.0  0.576 16.427 -0.324 1.027E+10 19.528 18.375 16.750 15.936 15.245 15.000 15.307 15.466 14.407 14.273 14.157 13.971 20.409 17.563 16.224 15.793 15.589 17.065
  3750. 8.0  0.576 16.126 -0.400 9.645E+09 19.069 18.044 16.527 15.747 15.048 14.613 14.820 14.927 14.110 13.991 13.875 13.702 19.941 17.283 16.036 15.599 15.378 16.846
  4000. 8.0  0.576 15.845 -0.431 9.013E+09 18.552 17.672 16.277 15.545 14.866 14.294 14.364 14.410 13.802 13.690 13.580 13.430 19.413 16.969 15.826 15.412 15.195 16.602
  4250. 8.0  0.577 15.581 -0.421 8.352E+09 17.990 17.267 16.002 15.325 14.680 14.054 13.967 13.966 13.516 13.411 13.313 13.195 18.842 16.625 15.594 15.216 15.017 16.331
  4500. 8.0  0.578 15.332 -0.379 7.582E+09 17.400 16.842 15.711 15.089 14.485 13.870 13.648 13.621 13.279 13.187 13.109 13.032 18.242 16.262 15.346 15.008 14.835 16.037
  4750. 8.0  0.578 15.095 -0.319 6.737E+09 16.811 16.417 15.414 14.847 14.287 13.713 13.414 13.348 13.094 13.023 12.971 12.925 17.645 15.896 15.090 14.796 14.653 15.732
  5000. 8.0  0.580 14.870 -0.255 5.688E+09 16.251 16.012 15.126 14.611 14.094 13.570 13.248 13.157 12.964 12.913 12.879 12.850 17.078 15.545 14.841 14.589 14.475 15.431
  5250. 8.0  0.582 14.654 -0.198 4.401E+09 15.723 15.634 14.853 14.385 13.910 13.435 13.119 13.028 12.871 12.832 12.807 12.787 16.544 15.214 14.605 14.392 14.305 15.141
  5500. 8.0  0.584 14.447 -0.156 3.170E+09 15.235 15.291 14.603 14.178 13.740 13.311 13.010 12.928 12.795 12.764 12.746 12.731 16.053 14.914 14.388 14.210 14.149 14.870
